,at,content,reviewCreatedVersion,thumbsUpCount,content,topic
38,2021-03-26 14:57:58,"No habia tenido mayor problema con la aplicacion en las actualizaciones anteriores, en lo referente a la geolocalizacion, como que para que les sirve esa informacion, pero bueno... El principal problema que tengo es que di de alta una tarjeta de otro banco y requiero hacerle una transferencia y no me aparece en el listado para realizar transferencia a otros bancos, me urge realizar la transfer y no hay manera de seleccionarla. Ayuda de favor",5.59.2,98,"No habia tenido mayor problema con la aplicacion en las actualizaciones anteriores, en lo referente a la geolocalizacion, como que para que les sirve esa informacion, pero bueno... El principal problema que tengo es que di de alta una tarjeta de otro banco y requiero hacerle una transferencia y no me aparece en el listado para realizar transferencia a otros bancos, me urge realizar la transfer y no hay manera de seleccionarla. Ayuda de favor",transferencias
39,2021-03-22 11:28:35,"La aplicación funcionaba correctamente hasta que el pasado sábado 20 de marzo de 2020 ya no me dejó hacer transferencias, esto debido a que se tenía que actualizar, pero no había actualizaciones disponibles. Intenté resolver el inconveniente borrando los datos y la memoria caché, pero no funcionó. Al final llegó la actualización un día después, y ya funciona, pero tuve que dar de alta todas mis contraseñas y token nuevamente. No es la primera vez que la aplicación presenta inconventes.",5.59,98,"La aplicación funcionaba correctamente hasta que el pasado sábado 20 de marzo de 2020 ya no me dejó hacer transferencias, esto debido a que se tenía que actualizar, pero no había actualizaciones disponibles. Intenté resolver el inconveniente borrando los datos y la memoria caché, pero no funcionó. Al final llegó la actualización un día después, y ya funciona, pero tuve que dar de alta todas mis contraseñas y token nuevamente. No es la primera vez que la aplicación presenta inconventes.",transferencias
42,2020-12-02 17:02:47,"Con la última actualización de la aplicación ahora se cierra inesperadamente cada que quiero ver mis movimientos, por lo que tengo que esperar mas de 15 minutos para volver a iniciar sesión. También se tarda mucho en abrir el apartado de mis metas, a veces deja de responder la aplicación o se queda cargando y no pasa nada. Tampoco puedo guardar mis comprobantes de transferencias, ya que solo me da la opción de Google Drive, la cual, al elegirla, siempre me marca error al subir la imagen, y no puedo tomar captura de pantalla por que no deja la aplicación.",5.58.2,94,"Con la última actualización de la aplicación ahora se cierra inesperadamente cada que quiero ver mis movimientos, por lo que tengo que esperar mas de 15 minutos para volver a iniciar sesión. También se tarda mucho en abrir el apartado de mis metas, a veces deja de responder la aplicación o se queda cargando y no pasa nada. Tampoco puedo guardar mis comprobantes de transferencias, ya que solo me da la opción de Google Drive, la cual, al elegirla, siempre me marca error al subir la imagen, y no puedo tomar captura de pantalla por que no deja la aplicación.",transferencias
43,2021-03-04 14:24:16,"Excelente aplicación para verificar saldo, realizar transferencias, y pago de servicios. Aunque, últimamente me ha fallado mucho a la hora de acceder a la plataforma, después de ingresar contraseña se congela y no me permite continuar. cierro programa y repito los pasos mínimo como 3 veces, hasta que me permite ingresar. realizo una transferencia, y nuevamente se congela pantalla. usar esta aplicación se a vuelto un poco tediosa.😥",5.58.5,94,"Excelente aplicación para verificar saldo, realizar transferencias, y pago de servicios. Aunque, últimamente me ha fallado mucho a la hora de acceder a la plataforma, después de ingresar contraseña se congela y no me permite continuar. cierro programa y repito los pasos mínimo como 3 veces, hasta que me permite ingresar. realizo una transferencia, y nuevamente se congela pantalla. usar esta aplicación se a vuelto un poco tediosa.😥",transferencias
49,2021-03-04 22:42:06,"Buena aplicación. Ya son varios años y estoy a gusto. Hay un problema con las transferencias viernes por la noche, no llegan sino hasta día hábil. Además las transferencias rápidas están limitadas a una cantidad muy pequeña por día, así como también los retiros sin tarjeta, están muy antiguos en estos temas, desearía que fueran libres, como BBVA.",5.58.5,87,"Buena aplicación. Ya son varios años y estoy a gusto. Hay un problema con las transferencias viernes por la noche, no llegan sino hasta día hábil. Además las transferencias rápidas están limitadas a una cantidad muy pequeña por día, así como también los retiros sin tarjeta, están muy antiguos en estos temas, desearía que fueran libres, como BBVA.",transferencias
53,2021-08-08 02:03:11,"Super lenta y con interfaz confusa! Jamás pude hacer transferencias y nadie lo pudo solucionar, ni en la app ni en sucursal, ademas si por error cerraste sesión no hay manera de volver a ingresar hasta que pasan 5 minutos pero siempre es mucho más tiempo, la atención al cliente por teléfono es pésima, siempre te ponen un pero para excusarse y jamás resuelven tu problema en fin; terrible banco y terrible aplicación, si pudiera ponerle cero estrellas lo haría, mejor cambiense a BBVA!",5.61,86,"Super lenta y con interfaz confusa! Jamás pude hacer transferencias y nadie lo pudo solucionar, ni en la app ni en sucursal, ademas si por error cerraste sesión no hay manera de volver a ingresar hasta que pasan 5 minutos pero siempre es mucho más tiempo, la atención al cliente por teléfono es pésima, siempre te ponen un pero para excusarse y jamás resuelven tu problema en fin; terrible banco y terrible aplicación, si pudiera ponerle cero estrellas lo haría, mejor cambiense a BBVA!",transferencias
55,2021-09-11 10:49:00,"A comparación con otras apps de la banca me parece que es compleja, para realizar transferencias, retiros sin tarjeta o cualquier movimiento pide dar de alta una y otra vez movimientos que demoran y al final no se pueden hacer, no tiene alertas, ni tampoco se puede poner en off las tarjetas vinculadas a la cuenta...etc etc etc. Muy mala su app",5.61,85,"A comparación con otras apps de la banca me parece que es compleja, para realizar transferencias, retiros sin tarjeta o cualquier movimiento pide dar de alta una y otra vez movimientos que demoran y al final no se pueden hacer, no tiene alertas, ni tampoco se puede poner en off las tarjetas vinculadas a la cuenta...etc etc etc. Muy mala su app",transferencias
63,2021-03-23 18:29:17,"Es sencilla de usar, pero es fastidioso el hecho de que con cada ""transferencia rápida"" me pida el supertoken y la autenticacion, una real perdida de tiempo, mejor terminas haciéndolo de manera normal... Otra queja es la reciente disposición de la geolocalización, no es que tenga las grandes finanzas pero si no quiero compartir mi ubicación no tienen por que saberlo, cada vez mas invasivos los bancos y el gobiernos, los delincuentes y evasores fiscales hacen de las suyas y bien gracias.",5.59.1,77,"Es sencilla de usar, pero es fastidioso el hecho de que con cada ""transferencia rápida"" me pida el supertoken y la autenticacion, una real perdida de tiempo, mejor terminas haciéndolo de manera normal... Otra queja es la reciente disposición de la geolocalización, no es que tenga las grandes finanzas pero si no quiero compartir mi ubicación no tienen por que saberlo, cada vez mas invasivos los bancos y el gobiernos, los delincuentes y evasores fiscales hacen de las suyas y bien gracias.",transferencias
65,2021-10-08 14:45:59,"Opinión editada, desde la última actualización la app es inestable, quieres hacer una transferencia o un pago y simplemente se cierra, después hay que esperar los 5 minutos que la aplicación decide no dejarte accesar, cuando logras ingresar de nuevo esperas tener la suerte de poder hacer tu transacción y si no pues a empezar de nuevo. Si no se corrige a la brevedad me llévare la nómina de la empresa a otro banco, simplemente.",5.62,73,"Opinión editada, desde la última actualización la app es inestable, quieres hacer una transferencia o un pago y simplemente se cierra, después hay que esperar los 5 minutos que la aplicación decide no dejarte accesar, cuando logras ingresar de nuevo esperas tener la suerte de poder hacer tu transacción y si no pues a empezar de nuevo. Si no se corrige a la brevedad me llévare la nómina de la empresa a otro banco, simplemente.",transferencias
68,2020-11-18 15:55:50,"El concepto de la app es muy bueno. Pero en el uso comun es infucional. Los procesos de transferencia, activación de servicios, etc. La mayor parte del uso, esos procesos se quedan a medias. Y queda la sensación de que su app es una porquería. Recomiendo la contratación de los programadores de la app de Bancomer. En ella nunca hay está sensación ni fallas ""técnicas"".",5.58.1,73,"El concepto de la app es muy bueno. Pero en el uso comun es infucional. Los procesos de transferencia, activación de servicios, etc. La mayor parte del uso, esos procesos se quedan a medias. Y queda la sensación de que su app es una porquería. Recomiendo la contratación de los programadores de la app de Bancomer. En ella nunca hay está sensación ni fallas ""técnicas"".",transferencias
71,2021-03-20 23:56:54,"una porquería la nueva actualización, va 3 veces mas lenta la interfaz y es una estupidez que pida a fuerza tener la ubicación activada para abrir la app para que se te acabe toda la batería, y se cerró la aplicación cuando quise hacer una transferencia. Muy incompententes el equipo de desarrollo de la pp",5.59,71,"una porquería la nueva actualización, va 3 veces mas lenta la interfaz y es una estupidez que pida a fuerza tener la ubicación activada para abrir la app para que se te acabe toda la batería, y se cerró la aplicación cuando quise hacer una transferencia. Muy incompententes el equipo de desarrollo de la pp",transferencias
78,2021-09-03 15:58:46,Se tarda mucho en cargar. Fallan mucho las transferencias a otros bancos . Tienes que esperar 1 hora para dar de alta una cuenta. No te permite tomar captura de la transferencia . La app te saca muy seguido. Es un problema obtener el super token en el caso de la cuenta superdigital ya que tienes que ir al banco fisico. Cuando copias y pegas un número de tarjeta solo se copian los primeros digitos,5.60,68,Se tarda mucho en cargar. Fallan mucho las transferencias a otros bancos . Tienes que esperar 1 hora para dar de alta una cuenta. No te permite tomar captura de la transferencia . La app te saca muy seguido. Es un problema obtener el super token en el caso de la cuenta superdigital ya que tienes que ir al banco fisico. Cuando copias y pegas un número de tarjeta solo se copian los primeros digitos,transferencias
81,2021-07-01 11:31:37,"Me encanta la App, pero no puedo sacar mis comprobantes en pagos y transferencias :(",5.60,66,"Me encanta la App, pero no puedo sacar mis comprobantes en pagos y transferencias :(",transferencias
82,2020-08-29 09:56:06,"Tengo un Galaxy A50 y la aplicacion me ha presentado serios retrasos para usarla. Desde ingresar las dos primeras pantallas (huella dactilar) hasta hacer una transferencia es un tiempo de mínimo 10 minutos entre operaciones. Mi primer reseña fue de 5 estrellas, y con justa razón, pero esto me hace bajarla. Mejoro con la última actualización, peor no es suficiente",5.57.7,66,"Tengo un Galaxy A50 y la aplicacion me ha presentado serios retrasos para usarla. Desde ingresar las dos primeras pantallas (huella dactilar) hasta hacer una transferencia es un tiempo de mínimo 10 minutos entre operaciones. Mi primer reseña fue de 5 estrellas, y con justa razón, pero esto me hace bajarla. Mejoro con la última actualización, peor no es suficiente",transferencias
84,2021-01-08 21:42:06,"En comparación con otras, esta es complicada. No sé si es por seguridad, porque para una simple transferencia a cuentas de otros bancos (la actividad más recurrida en estos tiempos), hay que hacer muchos trámites, en serio (recibir claves por sms, activar servicios, registrar contraseñas...); entonces para los que no manejamos bien el celular, se vuelve engorroso y frustrante hacer una simple transferencia, actividad más recurrida en estos tiempos.",5.58.4,65,"En comparación con otras, esta es complicada. No sé si es por seguridad, porque para una simple transferencia a cuentas de otros bancos (la actividad más recurrida en estos tiempos), hay que hacer muchos trámites, en serio (recibir claves por sms, activar servicios, registrar contraseñas...); entonces para los que no manejamos bien el celular, se vuelve engorroso y frustrante hacer una simple transferencia, actividad más recurrida en estos tiempos.",transferencias
85,2020-10-24 16:17:29,"Pésima aplicación, iba a evitar mi comentario pero de verdad se lo gana a pulso. Llevo mas de 15 días intentando hacer transferencias y no he podido, sumando la mala atención y orientación que te dan en sus sucursales, sumando lo lento que se han vuelto los trámites por contigencia. Desde que abres la App sabes que algo anda mal porque se deforma su logotipo. En general; pésimo banco, pésima atención y pésima aplicación. Ah pero eso si, están insistentes en venderme el seguro para auto.",5.58.1,65,"Pésima aplicación, iba a evitar mi comentario pero de verdad se lo gana a pulso. Llevo mas de 15 días intentando hacer transferencias y no he podido, sumando la mala atención y orientación que te dan en sus sucursales, sumando lo lento que se han vuelto los trámites por contigencia. Desde que abres la App sabes que algo anda mal porque se deforma su logotipo. En general; pésimo banco, pésima atención y pésima aplicación. Ah pero eso si, están insistentes en venderme el seguro para auto.",transferencias
91,2021-09-03 17:15:02,"Pésimo servicio. Para empezar tarda 5 minutos para que puedas iniciar sesión de nuevo terrible BBVA no necesita eso para que puedas utilizar tu banca, tarda demasiado en agregar una cuenta para depósitos o transferencias, el súper token igual terrible que no te acepte nada pones tal cual tu información y nada que no es correcto, pésima si no la necesitan usar, nunca la usen la verdad mil veces Bancomer que Santander. Pésimo servicio.",5.61,62,"Pésimo servicio. Para empezar tarda 5 minutos para que puedas iniciar sesión de nuevo terrible BBVA no necesita eso para que puedas utilizar tu banca, tarda demasiado en agregar una cuenta para depósitos o transferencias, el súper token igual terrible que no te acepte nada pones tal cual tu información y nada que no es correcto, pésima si no la necesitan usar, nunca la usen la verdad mil veces Bancomer que Santander. Pésimo servicio.",transferencias
92,2021-08-30 20:20:27,"La verdad, es muy frustrante dar de alta una tarjeta y no poder realizar la transferencia en el momento, te dice que no tienes la cuenta y si la intentas poner de nuevo que ya está registrado, la verdad no es recomendable, prefiero Banamex que das de alta y en el instante transfieres o hasta banco azteca ingresas y ya puedes transferir, no las deben usar para nómina son muy muy malas, la verdad no sé si es mi suerte pero lo veo como pésimo servicio",5.61,62,"La verdad, es muy frustrante dar de alta una tarjeta y no poder realizar la transferencia en el momento, te dice que no tienes la cuenta y si la intentas poner de nuevo que ya está registrado, la verdad no es recomendable, prefiero Banamex que das de alta y en el instante transfieres o hasta banco azteca ingresas y ya puedes transferir, no las deben usar para nómina son muy muy malas, la verdad no sé si es mi suerte pero lo veo como pésimo servicio",transferencias
95,2021-03-21 12:43:02,"Una porquería sus actualizaciones, entre a realizar una transferencia y me indico que primero debería actualizar la aplicación, lo hice y ahora pasa entrar a mi sesión me pide que active la geolocalizacion del dispositivo móvil, esto para que?, que diablos les importa donde me ubico, quieren seguir lucrando con los datos los clientes?, es una muerda su servicio. Tendré que cerrar mi cuenta con ustedes.",5.59,60,"Una porquería sus actualizaciones, entre a realizar una transferencia y me indico que primero debería actualizar la aplicación, lo hice y ahora pasa entrar a mi sesión me pide que active la geolocalizacion del dispositivo móvil, esto para que?, que diablos les importa donde me ubico, quieren seguir lucrando con los datos los clientes?, es una muerda su servicio. Tendré que cerrar mi cuenta con ustedes.",transferencias
102,2021-09-27 12:18:22,"Porquería de aplicación. Es una pena que un banco que es el 3ero más grande México no contrate unos programadores decentes. Uso 4 aplicaciones bancarias y sin temor a equivocarme, puedo asegurar que esta es la peor de todas. Increíble que Banco Azteca tenga una app mucho mejor que Santander. Entró a la aplicación y a los 2 segundos me saca, y obviamente, ya no puedo entrar porque se quedó la sesión abierta. Por las noches le dan mantenimiento a la app y no es posible hacer transferencias.",5.62,58,"Porquería de aplicación. Es una pena que un banco que es el 3ero más grande México no contrate unos programadores decentes. Uso 4 aplicaciones bancarias y sin temor a equivocarme, puedo asegurar que esta es la peor de todas. Increíble que Banco Azteca tenga una app mucho mejor que Santander. Entró a la aplicación y a los 2 segundos me saca, y obviamente, ya no puedo entrar porque se quedó la sesión abierta. Por las noches le dan mantenimiento a la app y no es posible hacer transferencias.",transferencias
107,2021-02-17 14:16:28,"Pésimo servicio del banco(ejecutivos) y de la App.Llevo mas de un año intentando obtener mi super token, he dado varias vueltas a las sucursales, a la superlinea y no me han podido resolver nada. Increíble que un banco del tamaño de Santander no puedan resolverme algo tan sencillo como darme mi token. Todavía diciéndome que el del error soy yo, ! Increíble ¡. Sin ello no puedo realizar transferencias. No me sirve de nada estar con ellos. Conclusión, busquen otro banco.",5.58.5,57,"Pésimo servicio del banco(ejecutivos) y de la App.Llevo mas de un año intentando obtener mi super token, he dado varias vueltas a las sucursales, a la superlinea y no me han podido resolver nada. Increíble que un banco del tamaño de Santander no puedan resolverme algo tan sencillo como darme mi token. Todavía diciéndome que el del error soy yo, ! Increíble ¡. Sin ello no puedo realizar transferencias. No me sirve de nada estar con ellos. Conclusión, busquen otro banco.",transferencias
108,2020-08-18 14:24:47,"La app es buena si solo quieres consultar saldos y movimientos. Para realizar otro tipo de movimientos te pide infinidad de requisitos e incluso acudir a una sucursal. De que sirve tener una aplicación si aún así tienes que ir a una sucursal. No puedo retirar sin tarjeta, ni hacer transferencias, ni pagos, muy incompetente",5.57.6,56,"La app es buena si solo quieres consultar saldos y movimientos. Para realizar otro tipo de movimientos te pide infinidad de requisitos e incluso acudir a una sucursal. De que sirve tener una aplicación si aún así tienes que ir a una sucursal. No puedo retirar sin tarjeta, ni hacer transferencias, ni pagos, muy incompetente",transferencias
109,2021-03-28 07:16:29,"Mala aplicación, desde hace meses se trababa cada vez que entraba y tenía que esperar 5 minutos para poder entrar nuevamente. Pero se puso peor con el tema de la geolocalización, aunque acepté los permisos no me permitió entrar a mi cuenta, llamé a súperlínea y aunque hice todos los pasos que me indicaron no hubo solución, al contrario perdí el súper token por haber desinstalado la aplicación y ahora no puedo hacer transferencias que es lo que más utilizo.",5.59.2,56,"Mala aplicación, desde hace meses se trababa cada vez que entraba y tenía que esperar 5 minutos para poder entrar nuevamente. Pero se puso peor con el tema de la geolocalización, aunque acepté los permisos no me permitió entrar a mi cuenta, llamé a súperlínea y aunque hice todos los pasos que me indicaron no hubo solución, al contrario perdí el súper token por haber desinstalado la aplicación y ahora no puedo hacer transferencias que es lo que más utilizo.",transferencias
113,2021-10-12 20:20:23,"Acabo de instalar la ultima actualización y esperaba que se corrigiera el problema que tenía pero sigue igual, quiero revisar movimientos y se cierra sola la aplicación, lo mismo para hacer una transferencia, yo creo que estos comentarios no los toman en cuenta, deberían revisar sus actualizaciones para ver si arreglan los problemas antes de ponerla a descarga, ya tiene bastante esos problemas por lo que puedo ver en los comentarios y en mi caso",5.62.1,55,"Acabo de instalar la ultima actualización y esperaba que se corrigiera el problema que tenía pero sigue igual, quiero revisar movimientos y se cierra sola la aplicación, lo mismo para hacer una transferencia, yo creo que estos comentarios no los toman en cuenta, deberían revisar sus actualizaciones para ver si arreglan los problemas antes de ponerla a descarga, ya tiene bastante esos problemas por lo que puedo ver en los comentarios y en mi caso",transferencias
120,2020-12-15 09:45:12,"Se traba mucho, rara vez abre sin problemas. Nunca me deja hacer transferencias. En general es una app muy mala que deja mucho que decir, ya que no se compara con la calidad del banco. Ese dinero que invierten en publicidad deberían de meterlo para mejorar la app. No hay mejor publicidad que una app que funciona como debería.",5.58.3,53,"Se traba mucho, rara vez abre sin problemas. Nunca me deja hacer transferencias. En general es una app muy mala que deja mucho que decir, ya que no se compara con la calidad del banco. Ese dinero que invierten en publicidad deberían de meterlo para mejorar la app. No hay mejor publicidad que una app que funciona como debería.",transferencias
121,2021-08-08 05:44:18,"Diré que no había tenido inconveniente alguno con el banco o la aplicación. Cual es mi inconveniente, cambie mi número de teléfono y no puedo usar la aplicación para hacer transferencias o pagos. Hable al banco para que me dijeran que hacer; tengo que ir a mi sucursal a cambiar el número, mi sucursal esta cerrada. Me dieron la dirección de mi nueva sucursal; por la pandemia estoy trabajando en casa. Estamos en emergencia sanitaria, debería poder hacerse por teléfono.",5.61,53,"Diré que no había tenido inconveniente alguno con el banco o la aplicación. Cual es mi inconveniente, cambie mi número de teléfono y no puedo usar la aplicación para hacer transferencias o pagos. Hable al banco para que me dijeran que hacer; tengo que ir a mi sucursal a cambiar el número, mi sucursal esta cerrada. Me dieron la dirección de mi nueva sucursal; por la pandemia estoy trabajando en casa. Estamos en emergencia sanitaria, debería poder hacerse por teléfono.",transferencias
122,2021-10-13 22:45:00,"No me gusta que las cuentas tenga uno que esperar tiempo, uso 3 apps de de otros bancos y las transferencias a otros bancos pasan inmediatamente, no hay que esperar el registro. Otra cosa que odio es que quiero ingresar después de haber utilizado la app y dice que hay que esperar 5 minutos porque aparece que solo se puede ingresar con un código de cliente a la vez... Se que lo hacen ver cómo seguro, pero ingreso mis credenciales o huella y aún así pide esperar!!",5.62.1,53,"No me gusta que las cuentas tenga uno que esperar tiempo, uso 3 apps de de otros bancos y las transferencias a otros bancos pasan inmediatamente, no hay que esperar el registro. Otra cosa que odio es que quiero ingresar después de haber utilizado la app y dice que hay que esperar 5 minutos porque aparece que solo se puede ingresar con un código de cliente a la vez... Se que lo hacen ver cómo seguro, pero ingreso mis credenciales o huella y aún así pide esperar!!",transferencias
123,2020-09-10 06:27:50,"Es la peor app bancaria que existe. Para cambiar tu número de teléfono tienes que ir a la sucursal donde se creó tu cuenta, como en el siglo XIX. Pero si la cuenta la creo mi patrón no se cual es. En otra sucursal no pueden! Si lo quieres hacer desde la app tiene que ser con tu número de cel registrado pero lo acabas de cambiar! Y para todo necesitas el nip dinámico pero el Super Token esta asociado a tu teléfono anterior que ya no tienes. Tampoco puedes transferir tu dinero a otro banco! Ascooo",5.57.7,53,"Es la peor app bancaria que existe. Para cambiar tu número de teléfono tienes que ir a la sucursal donde se creó tu cuenta, como en el siglo XIX. Pero si la cuenta la creo mi patrón no se cual es. En otra sucursal no pueden! Si lo quieres hacer desde la app tiene que ser con tu número de cel registrado pero lo acabas de cambiar! Y para todo necesitas el nip dinámico pero el Super Token esta asociado a tu teléfono anterior que ya no tienes. Tampoco puedes transferir tu dinero a otro banco! Ascooo",transferencias
